Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
P60842	reviewed	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear stress granule [GO:0097165]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; double-stranded RNA binding [GO:0003725]; helicase activity [GO:0004386]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; RNA helicase activity [GO:0003724]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]; cytoplasmic translational initiation [GO:0002183]; positive regulation of transcription by RNA polymerase II [GO:0045944]; translational initiation [GO:0006413]
P60900	reviewed	PSA6_HUMAN	Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain) (Proteasome subunit alpha-1) (alpha-1)	PSMA6 PROS27	Homo sapiens (Human)	246	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; myofibril [GO:0030016]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]; ribosome [GO:0005840]; sarcomere [GO:0030017]; endopeptidase activity [GO:0004175]; NF-kappaB binding [GO:0051059]; purine ribonucleoside triphosphate binding [GO:0035639]; RNA binding [GO:0003723]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteolysis involved in protein catabolic process [GO:0051603]; regulation of inflammatory response [GO:0050727]
P61011	reviewed	SRP54_HUMAN	Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein)	SRP54	Homo sapiens (Human)	504	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]; 7S RNA binding [GO:0008312]; ATP hydrolysis activity [GO:0016887]; endoplasmic reticulum signal peptide binding [GO:0030942]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; exocrine pancreas development [GO:0031017]; granulocyte differentiation [GO:0030851]; neutrophil chemotaxis [GO:0030593]; protein targeting to ER [GO:0045047]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition [GO:0006617]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]
P61088	reviewed	UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	UBE2N BLU	Homo sapiens (Human)	152	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; UBC13-MMS2 complex [GO:0031372]; ubiquitin conjugating enzyme complex [GO:0031371]; ubiquitin ligase complex [GO:0000151]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activator activity [GO:0097027]; ubiquitin-protein transferase activity [GO:0004842]; antiviral innate immune response [GO:0140374]; DNA double-strand break processing [GO:0000729]; double-strand break repair via homologous recombination [GO:0000724]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; postreplication repair [GO:0006301]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of DNA repair [GO:0006282]; T cell receptor signaling pathway [GO:0050852]
P61326	reviewed	MGN_HUMAN	Protein mago nashi homolog	MAGOH MAGOHA	Homo sapiens (Human)	146	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; exon-exon junction subcomplex mago-y14 [GO:1990501]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA processing [GO:0050684]; regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000622]; regulation of translation [GO:0006417]; RNA splicing [GO:0008380]
P61604	reviewed	CH10_HUMAN	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF) (Heat shock protein family E member 1)	HSPE1	Homo sapiens (Human)	102	extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; intrinsic apoptotic signaling pathway [GO:0097193]; osteoblast differentiation [GO:0001649]; protein folding [GO:0006457]; response to unfolded protein [GO:0006986]
P61764	reviewed	STXB1_HUMAN	Syntaxin-binding protein 1 (MUNC18-1) (N-Sec1) (Protein unc-18 homolog 1) (Unc18-1) (Protein unc-18 homolog A) (Unc-18A) (p67)	STXBP1 UNC18A	Homo sapiens (Human)	594	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extrinsic component of presynaptic membrane [GO:0098888]; glutamatergic synapse [GO:0098978]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; parallel fiber to Purkinje cell synapse [GO:0098688]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; postsynapse [GO:0098794]; presynaptic active zone cytoplasmic component [GO:0098831]; presynaptic cytosol [GO:0099523]; protein-containing complex [GO:0032991]; secretory granule [GO:0030141]; identical protein binding [GO:0042802]; phospholipase binding [GO:0043274]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; syntaxin-1 binding [GO:0017075]; axon target recognition [GO:0007412]; cellular response to type II interferon [GO:0071346]; developmental process involved in reproduction [GO:0003006]; intracellular protein transport [GO:0006886]; long-term synaptic depression [GO:0060292]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; neuromuscular synaptic transmission [GO:0007274]; neuron apoptotic process [GO:0051402]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of glutamate secretion, neurotransmission [GO:1903296]; positive regulation of mast cell degranulation [GO:0043306]; positive regulation of vesicle docking [GO:0106022]; presynaptic dense core vesicle exocytosis [GO:0099525]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; regulation of acrosomal vesicle exocytosis [GO:2000367]; regulation of SNARE complex assembly [GO:0035542]; regulation of synaptic vesicle fusion to presynaptic active zone membrane [GO:0031630]; regulation of synaptic vesicle priming [GO:0010807]; response to estradiol [GO:0032355]; SNARE complex assembly [GO:0035493]; synaptic vesicle maturation [GO:0016188]; synaptic vesicle priming [GO:0016082]; vesicle docking involved in exocytosis [GO:0006904]
P61956	reviewed	SUMO2_HUMAN	Small ubiquitin-related modifier 2 (SUMO-2) (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B) (Smt3B)	SUMO2 SMT3B SMT3H2	Homo sapiens (Human)	95	GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; postsynaptic cytosol [GO:0099524]; presynaptic cytosol [GO:0099523]; protein tag activity [GO:0031386]; RNA binding [GO:0003723]; SUMO transferase activity [GO:0019789]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-like protein ligase binding [GO:0044389]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein sumoylation [GO:0016925]
P61978	reviewed	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	463	catalytic step 2 spliceosome [GO:0071013]; cell projection [GO:0042995]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; podosome [GO:0002102]; ribonucleoprotein complex [GO:1990904]; cadherin binding [GO:0045296]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of low-density lipoprotein particle clearance [GO:1905581]; positive regulation of transcription by RNA polymerase II [GO:0045944]; random inactivation of X chromosome [GO:0060816]; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902165]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcription by RNA polymerase II [GO:0006357]; regulatory ncRNA-mediated heterochromatin formation [GO:0031048]; RNA processing [GO:0006396]; signal transduction [GO:0007165]
P61981	reviewed	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; presynapse [GO:0098793]; identical protein binding [GO:0042802]; insulin-like growth factor receptor binding [GO:0005159]; phosphorylation-dependent protein binding [GO:0140031]; protein domain specific binding [GO:0019904]; protein kinase C binding [GO:0005080]; protein kinase C inhibitor activity [GO:0008426]; protein sequestering activity [GO:0140311]; receptor tyrosine kinase binding [GO:0030971]; RNA binding [GO:0003723]; cellular response to glucose starvation [GO:0042149]; cellular response to insulin stimulus [GO:0032869]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein localization [GO:0008104]; protein targeting [GO:0006605]; regulation of neuron differentiation [GO:0045664]; regulation of protein localization [GO:0032880]; regulation of signal transduction [GO:0009966]; regulation of synaptic plasticity [GO:0048167]; signal transduction [GO:0007165]
P62191	reviewed	PRS4_HUMAN	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	PSMC1	Homo sapiens (Human)	440	cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]; RNA binding [GO:0003723]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
P62258	reviewed	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; cadherin binding [GO:0045296]; calcium channel inhibitor activity [GO:0019855]; calcium channel regulator activity [GO:0005246]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; MHC class II protein complex binding [GO:0023026]; phosphoprotein binding [GO:0051219]; phosphoserine residue binding [GO:0050815]; potassium channel regulator activity [GO:0015459]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; protein phosphatase binding [GO:0019903]; protein phosphatase inhibitor activity [GO:0004864]; protein sequestering activity [GO:0140311]; RNA binding [GO:0003723]; scaffold protein binding [GO:0097110]; signaling adaptor activity [GO:0035591]; transmembrane transporter binding [GO:0044325]; ubiquitin protein ligase binding [GO:0031625]; cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; hippocampus development [GO:0021766]; intracellular potassium ion homeostasis [GO:0030007]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; membrane repolarization during cardiac muscle cell action potential [GO:0086013]; negative regulation of calcium ion export across plasma membrane [GO:1905913]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; neuron migration [GO:0001764]; positive regulation of hippo signaling [GO:0035332]; positive regulation of protein export from nucleus [GO:0046827]; protein localization [GO:0008104]; protein localization to endoplasmic reticulum [GO:0070972]; protein localization to nucleus [GO:0034504]; protein targeting [GO:0006605]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of heart rate by hormone [GO:0003064]; regulation of membrane repolarization [GO:0060306]; regulation of mitotic cell cycle [GO:0007346]; regulation of potassium ion transmembrane transport [GO:1901379]; signal transduction [GO:0007165]; substantia nigra development [GO:0021762]
P62304	reviewed	RUXE_HUMAN	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; telomerase holoenzyme complex [GO:0005697]; U1 snRNP [GO:0005685]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; U7 snRNP [GO:0005683]; RNA binding [GO:0003723]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]
P62306	reviewed	RUXF_HUMAN	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)	SNRPF PBSCF	Homo sapiens (Human)	86	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; U7 snRNP [GO:0005683]; RNA binding [GO:0003723]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]
P62308	reviewed	RUXG_HUMAN	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	SNRPG PBSCG	Homo sapiens (Human)	76	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P granule [GO:0043186]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; spliceosomal tri-snRNP complex [GO:0097526]; U1 snRNP [GO:0005685]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type prespliceosome [GO:0071004]; U2-type spliceosomal complex [GO:0005684]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; U7 snRNP [GO:0005683]; RNA binding [GO:0003723]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]
P62310	reviewed	LSM3_HUMAN	U6 snRNA-associated Sm-like protein LSm3	LSM3 MDS017	Homo sapiens (Human)	102	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; Lsm1-7-Pat1 complex [GO:1990726]; Lsm2-8 complex [GO:0120115]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; precatalytic spliceosome [GO:0071011]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]; RNA binding [GO:0003723]; U6 snRNA 3'-end binding [GO:0030629]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; P-body assembly [GO:0033962]
P62312	reviewed	LSM6_HUMAN	U6 snRNA-associated Sm-like protein LSm6	LSM6	Homo sapiens (Human)	80	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Lsm2-8 complex [GO:0120115]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; small nuclear ribonucleoprotein complex [GO:0030532]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; maturation of SSU-rRNA [GO:0030490]; mRNA catabolic process [GO:0006402]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; tRNA processing [GO:0008033]
P62314	reviewed	SMD1_HUMAN	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	SNRPD1	Homo sapiens (Human)	119	catalytic step 2 spliceosome [GO:0071013]; commitment complex [GO:0000243]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; spliceosomal tri-snRNP complex [GO:0097526]; U1 snRNP [GO:0005685]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; RNA binding [GO:0003723]; U1 snRNP binding [GO:1990446]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]
P62316	reviewed	SMD2_HUMAN	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; RNA binding [GO:0003723]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]
P62318	reviewed	SMD3_HUMAN	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SNRPD3	Homo sapiens (Human)	126	catalytic step 2 spliceosome [GO:0071013]; commitment complex [GO:0000243]; cytosol [GO:0005829]; methylosome [GO:0034709]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; spliceosomal tri-snRNP complex [GO:0097526]; telomerase holoenzyme complex [GO:0005697]; U1 snRNP [GO:0005685]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; U7 snRNP [GO:0005683]; enzyme binding [GO:0019899]; histone pre-mRNA DCP binding [GO:0071208]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]; U7 snRNA binding [GO:0071209]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; protein methylation [GO:0006479]; RNA splicing [GO:0008380]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]
P62328	reviewed	TYB4_HUMAN	Thymosin beta-4 (T beta-4) (Fx) [Cleaved into: Hemoregulatory peptide AcSDKP (Ac-Ser-Asp-Lys-Pro) (N-acetyl-SDKP) (AcSDKP) (Seraspenide)]	TMSB4X TB4X THYB4 TMSB4	Homo sapiens (Human)	44	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; actin monomer binding [GO:0003785]; enzyme binding [GO:0019899]; protein sequestering activity [GO:0140311]; RNA binding [GO:0003723]; actin filament organization [GO:0007015]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of proton-transporting ATP synthase activity, rotational mechanism [GO:1905273]; regulation of cell migration [GO:0030334]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
P62487	reviewed	RPB7_HUMAN	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)	POLR2G RPB7	Homo sapiens (Human)	172	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; translation initiation factor binding [GO:0031369]; nuclear-transcribed mRNA catabolic process [GO:0000956]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of translational initiation [GO:0045948]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]
P62495	reviewed	ERF1_HUMAN	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)	ETF1 ERF1 RF1 SUP45L1	Homo sapiens (Human)	437	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; translation release factor complex [GO:0018444]; peptidyl-tRNA hydrolase activity [GO:0004045]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]; translation release factor activity [GO:0003747]; translation release factor activity, codon specific [GO:0016149]; translation termination factor activity [GO:0008079]; cytoplasmic translational termination [GO:0002184]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; protein methylation [GO:0006479]; regulation of translational termination [GO:0006449]; translational termination [GO:0006415]
